29/07/2022,CAFE,FRUTA: Maçã,Café com Açúcar,Café sem Açúcar,Leite,Pão com Margarina,ALMOCO,PRATO PRINCIPAL: Feijoada,ACOMPANHAMENTO: Arroz e Feijão,SOBREMESA: Laranja,JANTAR,SOPA: Creme De Moranga,FRUTA: Goiaba,RECHEIO PARA PÃO: Margarina,CAFÉ (com e sem açúcar),PÃO,Refresco,SOBREMESA: Pudim de Pão
30/07/2022,CAFE,FRUTA: Banana,Café com Açúcar,Café sem Açúcar,Leite,Pão com Margarina,ALMOCO,SALADA 1: Mix de Folhas,SALADA 2: Cenoura,SALADA 3: Batata Doce,PRATO PRINCIPAL: Lagarto Assado ao Molho de Limão,OPÇÃO VEGANA: Grão de Bico ao Vinagrete,OPÇÃO VEGETARIANA: Tortilha de Queijo e Salsa,GUARNIÇÃO: Inhame Ensopado,ACOMPANHAMENTO: Arroz e Feijão,SOBREMESA: Maçã,REFRESCO: Limão,JANTAR,SALADA 1: Acelga,SALADA 2: Tomate,SALADA 3: Abobrinha,PRATO PRINCIPAL: Isca Suína Acebolada,OPÇÃO VEGANA: Croquete Vegano,OPÇÃO VEGETARIANA: Ovos Cozidos,GUARNIÇÃO: Purê de Batata,ACOMPANHAMENTO: Arroz e Feijão,SOBREMESA: Banana,REFRESCO: Limão
31/07/2022,CAFE,FRUTA: Laranja,Café com Açúcar,Café sem Açúcar,Leite,Pão com Margarina,ALMOCO,SALADA 1: Alface,SALADA 2: Pepino,SALADA 3: Beterraba,PRATO PRINCIPAL: Frango Assado,OPÇÃO VEGANA: Escondidinho de Soja com Vagem,OPÇÃO VEGETARIANA: Ovos Mexidos,GUARNIÇÃO: Macarronese,ACOMPANHAMENTO: Arroz e Feijão,SOBREMESA: Pudim de Coco com Calda Passas,REFRESCO: Maracujá,JANTAR,SALADA 1: Almeirão,SALADA 2: Nabo,SALADA 3: Batata com Cheiro Verde,PRATO PRINCIPAL: Cubos Bovino ao Molho Madeira,OPÇÃO VEGANA: Charuto de Ervilha ao Sugo,OPÇÃO VEGETARIANA: Tortilha de Legumes,GUARNIÇÃO: Virado de Vagem,ACOMPANHAMENTO: Arroz e Feijão,SOBREMESA: Mexerica,REFRESCO: Maracujá
01/08/2022,CAFE,FRUTA: Banana,Café com Açúcar,Café sem Açúcar,Leite,Pão com Margarina,ALMOCO,SALADA 1: Alface,SALADA 2: Tomate,SALADA 3: Cenoura,PRATO PRINCIPAL: Strogonoff de Frango,OPÇÃO VEGANA: Strogonoff Vegano,OPÇÃO VEGETARIANA: Omelete com Cheiro Verde,GUARNIÇÃO: Batata Palha,ACOMPANHAMENTO: Arroz e Feijão,SOBREMESA: Maçã,REFRESCO: Laranja,JANTAR,SALADA 1: Mix de Folhas,SALADA 2: Beterraba,SALADA 3: Abobrinha,PRATO PRINCIPAL: Carne Moída à Provençal,OPÇÃO VEGANA: Feijão Xadrez,OPÇÃO VEGETARIANA: Ovos Escalfados,GUARNIÇÃO: Mandioca Ensopada,ACOMPANHAMENTO: Arroz e Feijão,SOBREMESA: Goiaba,REFRESCO: Laranja
02/08/2022,CAFE,MINGAU: Mingau de Amido,Café com Açúcar,Café sem Açúcar,Leite,Pão com Margarina,ALMOCO,SALADA 1: Couve,SALADA 2: Pepino com Cebolinha,SALADA 3: Caponata de Berinjela,PRATO PRINCIPAL: Isca Suína Acebolada,OPÇÃO VEGANA: Purê de Ervilha,OPÇÃO VEGETARIANA: Ovos Mexidos,GUARNIÇÃO: Repolho Búlgaro,ACOMPANHAMENTO: Arroz e Feijão,SOBREMESA: Laranja,REFRESCO: Uva,JANTAR,SALADA 1: Acelga,SALADA 2: Tomate,SALADA 3: Chuchu,PRATO PRINCIPAL: Filé de Frango Empanado,OPÇÃO VEGANA: Soja à Bolonhesa com Vagem,OPÇÃO VEGETARIANA: Omelete de Cenoura,GUARNIÇÃO: Creme de Milho,ACOMPANHAMENTO: Arroz e Feijão,SOBREMESA: Gelatina de Morango,REFRESCO: Uva
03/08/2022,CAFE,FRUTA: Laranja,Café com Açúcar,Café sem Açúcar,Leite,Pão com Margarina,ALMOCO,SALADA 1: Alface,SALADA 2: Abobrinha,SALADA 3: Cenoura com Cheiro Verde,PRATO PRINCIPAL: Frango Assado,OPÇÃO VEGANA: Grão de Bico com Tomate,OPÇÃO VEGETARIANA: Omelete de Espinafre,GUARNIÇÃO: Virado de Couve,ACOMPANHAMENTO: Arroz e Feijão,SOBREMESA: Mexerica,REFRESCO: Abacaxi,JANTAR,SALADA 1: Mix de Folhas,SALADA 2: Nabo,SALADA 3: Caponata de Berinjela,PRATO PRINCIPAL: Cozido Misto,OPÇÃO VEGANA: Charuto de Feijão Fradinho ao Sugo,OPÇÃO VEGETARIANA: Ovos Cozidos,GUARNIÇÃO: Creme de Moranga com Cheiro Verde,ACOMPANHAMENTO: Arroz e Feijão,SOBREMESA: Melancia,REFRESCO: Abacaxi
04/08/2002,CAFE,MINGAU: Mingau de Aveia,Café com Açúcar,Café sem Açúcar,Leite,Pão com Margarina,ALMOCO,SALADA 1: Repolho,SALADA 2: Tabule,SALADA 3: Beterraba,PRATO PRINCIPAL: Lombo Assado ao Molho Barbecue,OPÇÃO VEGANA: Mix de Grãos,OPÇÃO VEGETARIANA: Omelete de Queijo e Salsa,GUARNIÇÃO: Purê Misto,ACOMPANHAMENTO: Arroz e Feijão,SOBREMESA: Doce de Mamão,REFRESCO: Limão,JANTAR,SALADA 1: Alface,SALADA 2: Tomate,SALADA 3: Batata Doce,PRATO PRINCIPAL: Almôndega Bovina ao Molho,OPÇÃO VEGANA: Grão de Bico ao Vinagrete,OPÇÃO VEGETARIANA: Ovos Mexidos,GUARNIÇÃO: Espaguete ao Alho e Óleo,ACOMPANHAMENTO: Arroz e Feijão,SOBREMESA: Banana,REFRESCO: Limão
